DUT INFORMATIQUE - SEMESTRE 3;;;;;Matière :;;23/10/2023
;;;;;;;
MERCI DE LAISSER LA LISTE CI-DESSOUS DANS L'ORDRE ALPHABETIQUE;;;;;;;
;;;;;;;
;;;;;;;
"N° Etudiant;Groupe;"1/2"
"Groupe";Nom;Prénom;Note;;
5682;2;2.6;ANDRE;Aaron;nan;
5683;3;2.6;ARNAUD;Achille;nan;
5684;2;3.1;BARBIER;Adélie;nan;
5685;2;2.6;BERNARD;Adelin;nan;
5686;3;3.1;BERTRAND;Adonis;nan;
5687;2;2.5;BLANC;Aedan;nan;
5688;3;3.9;BLANCHARD;Aëlle;nan;
5689;2;3.6;BONNET;Aénor;nan;
5690;2;2.5;BOYER;Aglae;nan;
5691;2;3.9;BRUN;Aimé;nan;
5692;2;3.1;BRUNET;Alana;nan;
5693;2;3.1;CHEVALIER;Alban;nan;
5694;3;2.6;CLEMENT;Albane;nan;
5695;3;2.5;DAVID;Aldric;nan;
5696;3;3.9;DENIS;Aléna;nan;
5697;3;3.1;DUBOIS;Alessia;nan;
5698;2;2.6;DUFOUR;Alexian;nan;
5699;3;3.6;DUMONT;Alexine;nan;
5700;2;3.1;DUPONT;Aliéna;nan;
5701;3;3.9;DURAND;Aliénor;nan;
5702;2;2.6;DUVAL;Alistair;nan;
5703;2;2.6;FAURE;Alix;nan;
5704;2;3.1;FONTAINE;Aliya;nan;
5705;2;3.6;FOURNIER;Alizée;nan;
5706;3;2.6;FRANCOIS;Allye;nan;
5707;3;3.6;GAILLARD;Alois;nan;
5708;2;3.9;GARCIA;Alysson;nan;
5709;3;3.1;GARNIER;Amaël;nan;
5710;3;3.1;GAUTHIER;Amaïa;nan;
5711;3;3.6;GAUTIER;Amaya;nan;
5712;2;2.6;GIRARD;Ambre;nan;
5713;2;3.6;GIRAUD;Amélia;nan;
5714;2;3.6;GUERIN;Anaé;nan;
5715;3;3.9;HENRY;Anaëlle;nan;
5716;2;3.6;JOLY;Anakin;nan;
5717;3;3.6;LAMBERT;Anavai;nan;
5718;2;3.9;LAURENT;Andrea;nan;
5719;3;3.1;LEFEBVRE;Andréanne;nan;
5720;2;2.5;LEFEVRE;Angelina;nan;
5721;3;3.9;LEGRAND;Angus;nan;
5722;2;2.5;LEMAIRE;Anis;nan;
5723;3;2.5;LEROY;Anouck;nan;
5724;3;2.6;LUCAS;Anselme;nan;
5725;2;2.6;MARCHAND;Anthéa;nan;
5726;3;2.6;MARIE;Antonin;nan;
5727;2;3.6;MARTIN;Arabel;nan;
5728;2;2.6;MASSON;Argan;nan;
5729;3;2.6;MATHIEU;Aria;nan;
5730;2;2.6;MERCIER;Ariane;nan;
5731;2;2.5;MEUNIER;Armelle;nan;
5732;3;2.5;MEYER;Arthus;nan;
5733;3;2.5;MICHEL;Arwen;nan;
5734;3;3.9;MOREAU;Aryane;nan;
5735;3;3.9;MOREL;Aubin;nan;
5736;2;3.1;MORIN;Augustin;nan;
5737;2;2.6;MULLER;Auxane;nan;
5738;3;2.5;NICOLAS;Auxence;nan;
5739;2;3.6;NOEL;Aymar;nan;
5740;2;2.5;PERRIN;Babeth;nan;
5741;3;2.5;PETIT;Bachir;nan;
5742;2;3.1;RICHARD;Badiha;nan;
5743;3;2.6;RIVIERE;Badis;nan;
5744;3;3.9;ROBERT;Badredine;nan;
5745;2;3.1;ROBIN;Bahia;nan;
5746;2;3.1;ROUSSEAU;Bahya;nan;
5747;3;3.6;ROUSSEL;Balthazar;nan;
5748;3;3.1;ROUX;Balthus;nan;
5749;2;2.5;SIMON;Bao;nan;
5750;3;3.1;THOMAS;Baptistin;nan;
5751;2;2.6;VINCENT;Baptistine;nan;
